comment,label
love sir,2
thank much u really got first video algorithm without explanation lol,2
another great explanation abdul sir thank much,2
idea going first one one cleared everyth,2
thanks youuuuu soon soon much sir,2
great job,2
thank sir,2
thank much,2
sir youre really great job god may richly bless family much lov,2
love wearing red video updated brilli,2
wonderful explanation straight heaven,2
www first video got confusionbut video got 10q much,2
thank sir,2
love man,2
swear youre savior every single cs student god bless -,2
sir thank much bottom heart work helped alot,2
thank respect core heart,2
thanks lot abdul bari sir best 3,2
sir much genuine made video topic convinced previous one thought us might problem watts man thank sir,2
thankyou sir,2
tremendous teaching skills abdul thank much3,2
one best dynamic programming video,2
asalamughlikom sir sir tutorials python programming pakistani teacher follow student computer science 5th semest,2
never ever ever ever heard interesting extremely informative lecture 5 years student c,2
good,2
amazing explanation sights thank work,2
best algorithm teacher youtub,2
love explanation sir,2
nice explanation sirafter watching got interested enroll source dmi,2
king sir,2
sir kindly delete 43 video creating bit confusion awesome first shown actual matrix multiplication done derived formula gave us clear understanding class spend nearly 2 hours derive failed understand gave clear understanding feel worth watching videos thank much,2
smile end,2
best teacher one could ask loved video,2
wanted add praise video excellent teaching abdul,2
thank much,2
really fantastic thank alot,2
best daa teacher ever subscribe right,2
thank sir,2
thank sir,2
tutorial amazing thank,2
king algorithms complement silent fan sir abdul bari pakistan,2
saved exam,2
mind blowing sir,2
thank siryou sav,2
mr bari see would like thank best teacher platform recently purchased dmy course would like express gratitude videos comprehensive unique teaching style dedicated teacher go data structures algorithmic content thank,2
king back,2
thank u uploading new video topic explained everything much clear,2
nice explanation sir,2
great method explain every top,2
excellent video,2
sir used best teacher iz much loved u nowadays cir see board u fat please slim sir learn everyday board exam well done sir many thank,2
thank abdul bari videos lessons well-structured approachable would recommend videos students near future thank,2
thanks lot sir give us best stuff particular subject also getting ready 100 clear topicthank much,2
thank sir providing content free please upload more need sir amazing huge respect sir,2
sir say one teach topic better way taught teaching skill peak sir thanksssss,2
thanks lot sir,2
