comment,label
Love you sir!!,2
"Thank you very much, u really got me in the first video about this algorithm without explanation lol",2
Another great explanation by Abdul sir. Thank you so much.,2
"I had no idea what was going on in the first one, but this one cleared everything up!",2
Thankkk youuuuu soooo sooo much sir,2
great job!!!!,2
Thank you Sir !!,2
Thank you so much ,2
Sir you're doing really great job ..GOD may richly bless you and your family ..much love,2
I love when he is wearing red because the video is updated :D brilliant,2
Wonderful explanation (straight from the heaven),2
"Waw at the first video I got a confusion,but at this video I have got it. 10Q so much.",2
Thank you Sir,2
I love this man!,2
I swear you're the savior of every single CS student. God bless you!. ;-;,2
sir thank you very very much from the bottom of my heart your work helped me alotðŸ™‚,2
Thank you..... respect from core of my heart...,2
Thanks a lot Abdul Bari Sir. You are the best <3,2
"Sir is so much Genuine that he again made video of the same topic , only because he was not convinced by the previous one.He just thought about us that we might be having some problem. Hatts off to this man. Thank you sir.",2
Thankyou sir ,2
You have tremendous teaching skills Abdul!! Thank you so much<3,2
One of the best Dynamic programming videos out there.,2
Asalamughlikom sir. Sir you have any tutorials on python programming or other pakistani teacher that I follow it. I am student of computer science in 5th semester.,2
Never ever ever ever heard such an interesting and extremely informative lecture in my 5 years as a student in CS.,2
good,2
Amazing explanation sir...Hats off!! And Thank you for all your work!!,2
best algorithm teacher on youtube,2
love your explanation Sir,2
Very nice explanation sir..after watching this i got interested in enroll your cource in Udemy.,2
You are the king Sir,2
Sir. Kindly delete 4.3 video.. That was creating bit confusion.. But this is awesome.. You first shown how the actual matrix multiplication is done and with that you derived the formula which gave us a clear understanding. In our class we spend nearly 2 hours to derive but I failed to understand but this gave me a clear understanding.. I feel worth watching your videos.. Thank you very much...,2
That smile at the end˜…,2
The best teacher one could ask for!!!! Loved your videos,2
Just wanted to add my praise for this video. Excellent teaching Abdul!,2
Thank you so much,2
Really fantastic. Thank you alot.,2
The best DAA teacher ever. Subscribe him right now,2
Thank You Sir...,2
Thank you! Sir,2
That tutorial was amazing!!! Thanks,2
King of Algorithms ðŸ˜ŽComplement from a silent fan of Sir Abdul Bari from Pakistan :),2
saved my exam,2
Mind blowing sir....,2
Thank you sir....You saved me.,2
"Mr. Bari, if you see this I would like to thank you for being the best teacher on this platform. I have recently purchased your Udemy course and would like to express my gratitude as your videos are comprehensive and UNIQUE to your teaching style. You are the dedicated teacher that I go to for data structures and algorithmic content. Thank you :)",2
Our king is back .,2
Thank u for uploading a new video on this topic ....it explained everything much clearly ðŸ‘Œ,2
Nice explanation sir,2
Great method to explain every topicðŸ‘,2
excellent videos@@@@,2
"Sir you used to be the best teacher, I iz very muched loved u but nowadays cir I can not see board because u so fat. please slim sir but I learn everyday from board and exam well done sir, many thank you.",2
"Thank you Abdul Bari, your videos and lessons is well-structured and approachable. I would recommend your videos to my students in the near future. Thank you again.",2
Thnaks a Lot SIR ...... you give us very best stuff for not only particular subject but also getting ready for 100% clear to any topic....thank you very much,2
"thank you sir for providing such content for free please upload more...we need you sir, you are so amazing ,HUGE RESPECT FOR YOU SIR..",2
Sir i can say no one can teach this topic better than the way you have taught. Teaching skill at its peak sir. Thanksssss,2
"thanks a lot sir,,,,",2
i am from Bangladesh.You are one of the best teacher in algorithm learning ...So carry on..,2
"sir thought, at 51:15 no one will watch the whole video and didn't edited it.... sir, you are awesome I watch your videos till the end.",2
You are the greatest Data Structure And Algorithm Teacher I have ever seen ! Such an amazing explanation..Thank you sir..,2
Best video on matrix chain multiplication,2
Solid Explanation by Solid Person.ðŸ‘ŒðŸ‘ŒThanks a lot Sir. ðŸ˜ðŸ˜ðŸ˜,2
sir python pe videos banaye sir you can explan every thing very well,2
Such a great explanation with so easy method of teaching âœŒï¸ðŸŽ‰,2
"getting u as a teacher,is matter of fortune for every student",2
You are awesome :). Thanks for the video.,2
nice explanation ......:),2
thankyou so much sir for again investing another hour into same topic thankyou...so muchðŸ™,2
Best teacher,2
Smooth as Butter !!,2
lengthy one but worth it.....,2
You are an amazing Teacher...,2
"sir i have purchased your course on c++, sir please make detailed course on java and python and your lectures on c++ is great.",2
best video ever........................,2
"Amazing Sir, thank you very much for making these free videos .",2
"wonderful respected sir, I liked your way of lecturing...",2
u legend,2
"Another epic statement at 38:49 ""So only your time is saved because I have written this one"". ðŸ˜‚Thank you ðŸ™",2
"Epic statement at 1:00 ""If you are here one day before the examination ..."" ðŸ™Œ",2
"Thanks to you i do passed the algorithms exam with the maximum result, you, professor Bari, you are the best, thank you a lot from italy",2
Best data structure tutorials ever seen in youtube. The way you're teaching is mind blowing. Simple and elegant. I purchased your course on Udemy to express my gratitude for the free video you uploaded here on youtube. Thank you once again.,2
"Your videos got me through my algorithms class, thank you so much",2
"If you want to learn directly then go to 34.30 and I have solved 8 marks questions in my board exam.Thanks, @Abdul Bari",2
thanks baje for your videos....love from Nepal!!!,2
"Plz plz plz make video on bucket, radix and count sorts as well, they're nowhere on youtube",2
may god blesss you and your family sir,2
THANK YOU SIR sir for caring about us students and taking time to make a new video explaining previous unexplained things about certain topics. your approach is genuinely amazing and very friendly towards beginners and that's something. Teaching complex topics in simple understandable way is only what great teacher can achieve and you have achieved that your teaching will be remembered by lots of students for times to come.,2
"Mr. Bari, these videos are excellent. Your explanations are always clear and to the point.",2
"Only two words for the explanation in this video ""Amazingly Awesome """,2
Great Job Sir. Really appreciable dedication you put in your teaching. Thank You.,2
Awesome sirðŸ˜ðŸ˜ðŸ˜,2
This guy is gem...loved his videos...,2
"One of those special gift that Allah has blessed me with this year is your vedios. May Almighty bless you, thank you so much",2
I think this is the best ever video I have watched on YouTube. Thank you so much for your efforts sir.,2
